"","game_id","date","home_team","away_team","home_score","away_score","avg_spread_home","avg_spread_money_home","avg_spread_money_away","avg_money_home","avg_money_away"
"2085","MLB_TOR_DET_20110226",20110226,"TOR","DET",0,4,1,NA,NA,NA,NA
"2086","MLB_NYY_PHI_20110226",20110226,"NYY","PHI",4,5,1,NA,NA,NA,NA
"2087","MLB_TB_PIT_20110226",20110226,"TB","PIT",9,5,1,NA,NA,NA,NA
"2088","MLB_NYM_ATL_20110226",20110226,"NYM","ATL",5,5,1,NA,NA,NA,NA
"2089","MLB_ARI_COL_20110226",20110226,"ARI","COL",7,8,3,109,-125,-134.8,118.2
"2113","MLB_PHI_NYY_20110227",20110227,"PHI","NYY",3,7,2,110,-121,-144.2,125.6
"2114","MLB_PIT_TB_20110227",20110227,"PIT","TB",10,3,63.3333333333333,-144,127,34.8333333333333,-118.333333333333
"2115","MLB_DET_TOR_20110227",20110227,"DET","TOR",1,0,3,135,-152.5,-127.333333333333,110.333333333333
"2116","MLB_LAD_LAA_20110227",20110227,"LAD","LAA",5,0,3,146,-164,-128.5,111.5
"2117","MLB_TEX_KC_20110227",20110227,"TEX","KC",2,4,3,-2.5,-112.5,-138.333333333333,121.166666666667
"2118","MLB_CHC_OAK_20110227",20110227,"CHC","OAK",7,15,3,142.5,-160.5,-124.666666666667,107.666666666667
"2119","MLB_SEA_SD_20110227",20110227,"SEA","SD",13,12,32.3333333333333,-35,14.5,-126.5,109.5
"2120","MLB_ARI_SF_20110227",20110227,"ARI","SF",4,3,32.3333333333333,5,-30.5,-107.833333333333,-108.833333333333
"2121","MLB_MIN_BOS_20110227",20110227,"MIN","BOS",8,4,32.3333333333333,-31,11,-133.666666666667,116.5
"2144","MLB_STL_MIA_20110228",20110228,"STL","MIA",3,6,3,163,-183,-134,117
"2145","MLB_ATL_HOU_20110228",20110228,"ATL","HOU",13,3,2,152,-167,-127.666666666667,110.666666666667
"2146","MLB_BOS_MIN_20110228",20110228,"BOS","MIN",7,6,3,167.5,-190,-125,108
"2147","MLB_DET_NYY_20110228",20110228,"DET","NYY",6,2,63.3333333333333,-158,140.5,-72.6666666666667,-110.666666666667
"2148","MLB_TOR_PHI_20110228",20110228,"TOR","PHI",3,6,63.3333333333333,-140.5,124,106.333333333333,-123.166666666667
"2149","MLB_NYM_WSH_20110228",20110228,"NYM","WSH",3,9,3,148.5,-167,-127.833333333333,111
"2150","MLB_LAD_CWS_20110228",20110228,"LAD","CWS",6,5,3,116,-132,-133.333333333333,116.166666666667
"2151","MLB_CIN_CLE_20110228",20110228,"CIN","CLE",0,12,3,148,-166,-119.166666666667,102.333333333333
"2152","MLB_TEX_KC_20110228",20110228,"TEX","KC",12,11,3,131,-148,-130,113
"2153","MLB_LAA_OAK_20110228",20110228,"LAA","OAK",8,7,3,118,-134.5,-138.333333333333,121.166666666667
"2154","MLB_SD_SEA_20110228",20110228,"SD","SEA",6,6,3,143.5,-161,-124,107
"2155","MLB_ARI_COL_20110228",20110228,"ARI","COL",5,6,3,142,-160,-128.333333333333,111.333333333333
"2164","MLB_HOU_ATL_20110301",20110301,"HOU","ATL",0,3,2,158,-180,-116.333333333333,33
"2165","MLB_MIN_BOS_20110301",20110301,"MIN","BOS",0,0,2,140,-160,-131.333333333333,114.333333333333
"2166","MLB_PIT_NYY_20110301",20110301,"PIT","NYY",2,0,33,-135,115,111.833333333333,-128.833333333333
"2167","MLB_WSH_NYM_20110301",20110301,"WSH","NYM",5,3,2,125,-145,-141.166666666667,123.833333333333
"2168","MLB_BAL_TB_20110301",20110301,"BAL","TB",12,6,2,155,-175,-118.333333333333,101.5
"2169","MLB_KC_SD_20110301",20110301,"KC","SD",4,3,2,125,-145,-139.666666666667,122.5
"2170","MLB_SEA_TEX_20110301",20110301,"SEA","TEX",5,4,2,125,-145,-136.333333333333,119.166666666667
"2171","MLB_COL_ARI_20110301",20110301,"COL","ARI",7,4,2,145,-165,-128,111
"2193","MLB_BOS_ATL_20110302",20110302,"BOS","ATL",1,6,2,140,-160,-131.666666666667,114.666666666667
"2194","MLB_PHI_BAL_20110302",20110302,"PHI","BAL",5,6,2,115,-135,-153,135.666666666667
"2195","MLB_WSH_MIA_20110302",20110302,"WSH","MIA",8,4,2,145,-165,-120.833333333333,104
"2196","MLB_PIT_MIN_20110302",20110302,"PIT","MIN",2,4,2,150,-170,-123.2,106.666666666667
"2197","MLB_STL_NYM_20110302",20110302,"STL","NYM",3,2,2,140,-160,-128.5,111.5
"2198","MLB_TOR_TB_20110302",20110302,"TOR","TB",5,4,2,140,-160,-120.833333333333,104
"2199","MLB_TEX_LAA_20110302",20110302,"TEX","LAA",0,0,2,140,-160,-128.5,111.5
"2200","MLB_CIN_CWS_20110302",20110302,"CIN","CWS",7,6,2,175,-210,-111.166666666667,-105.5
"2201","MLB_MIL_CHC_20110302",20110302,"MIL","CHC",12,5,2,175,-210,-108.666666666667,-108
"2202","MLB_OAK_CLE_20110302",20110302,"OAK","CLE",4,3,2,140,-160,-127.833333333333,110.833333333333
"2203","MLB_SD_COL_20110302",20110302,"SD","COL",7,3,2,150,-170,-119.166666666667,102.333333333333
"2204","MLB_LAD_KC_20110302",20110302,"LAD","KC",5,11,2,135,-155,-131.333333333333,114.5
"2268","MLB_ATL_DET_20110303",20110303,"ATL","DET",4,3,2,140,-160,-126.333333333333,109.333333333333
"2269","MLB_HOU_MIA_20110303",20110303,"HOU","MIA",5,3,33,-135,115,117.166666666667,-134.333333333333
"2270","MLB_BAL_MIN_20110303",20110303,"BAL","MIN",0,2,2,155,-175,-119.833333333333,103
"2271","MLB_TB_NYY_20110303",20110303,"TB","NYY",1,1,2,150,-170,-124.333333333333,107.5
"2272","MLB_BOS_PHI_20110303",20110303,"BOS","PHI",0,2,2,150,-170,-121.833333333333,105
"2273","MLB_TOR_PIT_20110303",20110303,"TOR","PIT",1,4,2,130,-150,-134.166666666667,117
"2274","MLB_SD_ARI_20110303",20110303,"SD","ARI",6,4,2,140,-160,-128,111
"2275","MLB_LAA_KC_20110303",20110303,"LAA","KC",2,8,33,-150,130,-35.5,-115
"2276","MLB_MIL_OAK_20110303",20110303,"MIL","OAK",11,9,2,140,-160,-128.166666666667,111.166666666667
"2277","MLB_CWS_SEA_20110303",20110303,"CWS","SEA",6,1,2,130,-150,-139.166666666667,122
"2278","MLB_COL_SF_20110303",20110303,"COL","SF",5,7,2,140,-160,-127.333333333333,110.333333333333
"2279","MLB_CIN_LAD_20110303",20110303,"CIN","LAD",3,1,2,130,-150,-141.5,124.333333333333
"2309","MLB_DET_BAL_20110304",20110304,"DET","BAL",2,6,2,150,-170,-126.833333333333,110
"2310","MLB_MIA_NYM_20110304",20110304,"MIA","NYM",3,4,2,150,-170,-134.333333333333,117.8
"2311","MLB_PIT_PHI_20110304",20110304,"PIT","PHI",4,7,33,-125,105,117.333333333333,-134.333333333333
"2312","MLB_HOU_STL_20110304",20110304,"HOU","STL",2,10,2,160,-185,-117.333333333333,100.5
"2313","MLB_MIN_TB_20110304",20110304,"MIN","TB",5,4,2,145,-165,-123.5,106.4
