"","game_id","date","home_team","away_team","home_score","away_score","avg_spread_home","avg_spread_money_home","avg_spread_money_away","avg_money_home","avg_money_away"
"7","NBA_Chicago_Cleveland_20110101",20110101,"Chicago","Cleveland",100,91,-4,-110.125,-83.5,-1787.5,1106.25
"8","NBA_Washington_NewOrleans_20110101",20110101,"Washington","NewOrleans",81,92,27.5,-109.5,-109.333333333333,67.6666666666667,-118
"9","NBA_Miami_GoldenState_20110101",20110101,"Miami","GoldenState",114,107,-6.05555555555556,-110.125,-108.714285714286,-945.666666666667,689.166666666667
"10","NBA_Minnesota_Brooklyn_20110101",20110101,"Minnesota","Brooklyn",103,88,22.7777777777778,-109.222222222222,-86.1111111111111,-214.777777777778,180.666666666667
"11","NBA_SanAntonio_OklahomaCity_20110101",20110101,"SanAntonio","OklahomaCity",101,74,31.8571428571429,-109.714285714286,-107.5,-280.222222222222,238.333333333333
"12","NBA_Utah_Memphis_20110101",20110101,"Utah","Memphis",98,92,23.3888888888889,-109.777777777778,-82.625,-318.777777777778,264.444444444444
"13","NBA_Milwaukee_Dallas_20110101",20110101,"Milwaukee","Dallas",99,87,38.8333333333333,-108.222222222222,-109.333333333333,111.5,-129.375
"14","NBA_Denver_Sacramento_20110101",20110101,"Denver","Sacramento",104,86,-4.375,-108.75,-108.666666666667,-751.25,548
"56","NBA_NewYork_Indiana_20110102",20110102,"NewYork","Indiana",98,92,23.2222222222222,-85.7777777777778,-109.666666666667,-293,247.25
"57","NBA_LAClippers_Atlanta_20110102",20110102,"LAClippers","Atlanta",0,0,34.1666666666667,-108,-109.555555555556,108.875,-126.625
"58","NBA_Toronto_Boston_20110102",20110102,"Toronto","Boston",79,93,49.3333333333333,-85.7777777777778,-109.666666666667,211.111111111111,-247.777777777778
"59","NBA_Cleveland_Dallas_20110102",20110102,"Cleveland","Dallas",95,104,48,-84.6666666666667,-110.777777777778,189.222222222222,-223.125
"60","NBA_Portland_Houston_20110102",20110102,"Portland","Houston",100,85,13.6666666666667,-108.777777777778,-108.625,-165.666666666667,147.625
"61","NBA_Sacramento_Phoenix_20110102",20110102,"Sacramento","Phoenix",94,89,47.9444444444444,-109,-108.5,180.555555555556,-214.555555555556
"62","NBA_LALakers_Memphis_20110102",20110102,"LALakers","Memphis",85,104,23.2777777777778,-109.222222222222,-108.333333333333,-591.111111111111,440.333333333333
"88","NBA_Orlando_GoldenState_20110103",20110103,"Orlando","GoldenState",110,90,-4.88888888888889,-108.222222222222,-109.333333333333,-721.428571428571,520.5
"89","NBA_Charlotte_Miami_20110103",20110103,"Charlotte","Miami",82,96,53.2777777777778,-108.222222222222,-109.333333333333,390.25,-521.555555555556
"90","NBA_Boston_Minnesota_20110103",20110103,"Boston","Minnesota",0,0,23.2777777777778,-108.111111111111,-109.444444444444,-403.333333333333,321.777777777778
"91","NBA_NewOrleans_Philadelphia_20110103",20110103,"NewOrleans","Philadelphia",84,77,23.4444444444444,-108.222222222222,-109.333333333333,-265,226.75
"92","NBA_Utah_Detroit_20110103",20110103,"Utah","Detroit",102,97,23.3333333333333,-109.222222222222,-108.333333333333,-499.5,376.666666666667
"93","NBA_Denver_Houston_20110103",20110103,"Denver","Houston",113,106,23.3333333333333,-110,-108.666666666667,-311.666666666667,257.666666666667
"119","NBA_Miami_Milwaukee_20110104",20110104,"Miami","Milwaukee",101,89,23.2777777777778,-109.333333333333,-86,-602.555555555556,447
