"","game_id","date","home_team","away_team","home_score","away_score","avg_spread_home","avg_spread_money_home","avg_spread_money_away","avg_money_home","avg_money_away"
"15","NCAAB_Marquette_WestVirginia_20110101",20110101,"Marquette","WestVirginia",79,74,6.94444444444444,-109.111111111111,-86.2222222222222,-138.625,120.875
"16","NCAAB_NorthCarolinaState_SanDiego_20110101",20110101,"NorthCarolinaState","SanDiego",76,54,-4.16666666666667,-108.333333333333,-110.333333333333,-4000,2000
"17","NCAAB_WrightState_GreenBay_20110101",20110101,"WrightState","GreenBay",67,64,23.1666666666667,-109.111111111111,-109.555555555556,-491.125,372.5
"18","NCAAB_Georgetown_DePaul_20110101",20110101,"Georgetown","DePaul",86,75,-4.33333333333333,-108.777777777778,-108.777777777778,-5000,2500
"19","NCAAB_Detroit_Milwaukee_20110101",20110101,"Detroit","Milwaukee",48,50,23.2222222222222,-84.8888888888889,-110.555555555556,-472.375,374.375
"20","NCAAB_YoungstownState_LoyolaIL_20110101",20110101,"YoungstownState","LoyolaIL",53,83,44.0555555555556,-85.8888888888889,-109.444444444444,143.625,-161.75
"21","NCAAB_Butler_Valparaiso_20110101",20110101,"Butler","Valparaiso",76,59,-5,-107.888888888889,-109.666666666667,-791.666666666667,588.166666666667
"22","NCAAB_ClevelandState_IllinoisChicago_20110101",20110101,"ClevelandState","IllinoisChicago",83,59,-5,-109,-108.555555555556,-1825,1275
"23","NCAAB_Dayton_NewMexico_20110101",20110101,"Dayton","NewMexico",49,49,7,-108.666666666667,-108.888888888889,-131.5,113.75
"24","NCAAB_SouthernIllinois_NorthernIowa_20110101",20110101,"SouthernIllinois","NorthernIowa",57,55,43.5555555555556,-108.888888888889,-108.666666666667,138.125,-156.25
"25","NCAAB_Syracuse_NotreDame_20110101",20110101,"Syracuse","NotreDame",70,58,23.4444444444444,-85.5555555555556,-109.888888888889,-338.222222222222,280
"26","NCAAB_SaintLouis_BowlingGreen_20110101",20110101,"SaintLouis","BowlingGreen",61,67,-2.71428571428571,-108.428571428571,-108.428571428571,-962.5,721.25
"27","NCAAB_ColoradoState_Hampton_20110101",20110101,"ColoradoState","Hampton",75,77,-4.88888888888889,-108.222222222222,-109.333333333333,-578.428571428571,441.142857142857
"28","NCAAB_NorthTexas_LouisianaLafayette_20110101",20110101,"NorthTexas","LouisianaLafayette",80,63,-5.16666666666667,-110.111111111111,-107.444444444444,-631.25,474
"29","NCAAB_SouthCarolina_BostonCollege_20110101",20110101,"SouthCarolina","BostonCollege",70,85,2.5,-108.777777777778,-108.777777777778,-125.166666666667,108
"30","NCAAB_Providence_StJohns_20110101",20110101,"Providence","StJohns",65,67,1,NA,NA,-116,-2.33333333333333
"31","NCAAB_Bradley_WichitaState_20110101",20110101,"Bradley","WichitaState",63,79,51.8888888888889,-108.555555555556,-109,296,-366.555555555556
"32","NCAAB_SanFrancisco_DominicanCA_20110101",20110101,"SanFrancisco","DominicanCA",68,47,11.3333333333333,-110,-110,-5000,2000
"33","NCAAB_Evansville_IndianaState_20110101",20110101,"Evansville","IndianaState",64,59,7,-108.444444444444,-109.111111111111,-129.125,111.25
"34","NCAAB_ArkansasState_WesternKentucky_20110101",20110101,"ArkansasState","WesternKentucky",81,73,20.1666666666667,-108.222222222222,-109.333333333333,-202.25,174.125
"35","NCAAB_MissouriState_IllinoisState_20110101",20110101,"MissouriState","IllinoisState",82,71,-4.88888888888889,-109.444444444444,-85.8888888888889,-1237.5,878.75
"36","NCAAB_Creighton_Drake_20110101",20110101,"Creighton","Drake",73,57,-5.11111111111111,-110.111111111111,-107.444444444444,-620.666666666667,482.666666666667
"37","NCAAB_SouthernUtah_SDState_20110101",20110101,"SouthernUtah","SDState",95,105,46.8888888888889,-109.222222222222,NA,174,NA
"38","NCAAB_Oregon_ArizonaState_20110101",20110101,"Oregon","ArizonaState",55,60,0.166666666666667,-109.666666666667,-109,-124.333333333333,105.5
