"","game_id","date","home_team","away_team","home_score","away_score","avg_spread_home","avg_spread_money_home","avg_spread_money_away","avg_money_home","avg_money_away"
"1","NCAAF_TexasTech_Northwestern_20110101",20110101,"TexasTech","Northwestern",45,38,23.3888888888889,-86.5555555555556,-108.777777777778,-313.333333333333,261.555555555556
"2","NCAAF_Florida_PennState_20110101",20110101,"Florida","PennState",37,24,23.3333333333333,-83.3333333333333,-112.111111111111,-258.777777777778,220.888888888889
"3","NCAAF_Alabama_MichiganState_20110101",20110101,"Alabama","MichiganState",49,7,23.1111111111111,-110.666666666667,-106.888888888889,-318.222222222222,264.777777777778
"4","NCAAF_MississippiState_Michigan_20110101",20110101,"MississippiState","Michigan",52,14,13.5555555555556,-87.8888888888889,-82.75,-153.125,134.666666666667
"5","NCAAF_Wisconsin_TCU_20110101",20110101,"Wisconsin","TCU",0,0,43.9444444444444,-65.2222222222222,-85.8888888888889,141,-159.25
"6","NCAAF_Oklahoma_Connecticut_20110101",20110101,"Oklahoma","Connecticut",48,20,-5.05555555555556,-110.222222222222,-85.1111111111111,-722.5,547.166666666667
"87","NCAAF_Stanford_VirginiaTech_20110103",20110103,"Stanford","VirginiaTech",40,12,13.5555555555556,-85.5555555555556,-109.75,-172.888888888889,154.333333333333
"118","NCAAF_OhioState_Arkansas_20110104",20110104,"OhioState","Arkansas",31,26,15.75,-111.375,-84.1111111111111,-150.666666666667,132.333333333333
"194","NCAAF_MiamiOH_MiddleTennessee_20110106",20110106,"MiamiOH","MiddleTennessee",35,21,34.0555555555556,-109.111111111111,-108.444444444444,107.25,-125.125
"269","NCAAF_Pittsburgh_Kentucky_20110108",20110108,"Pittsburgh","Kentucky",27,10,19.4444444444444,-110.444444444444,-86,-184.888888888889,161.444444444444
"376","NCAAF_Nevada_BostonCollege_20110109",20110109,"Nevada","BostonCollege",20,13,23.1666666666667,-86,-109.333333333333,-288.75,241.8
"413","NCAAF_Auburn_Oregon_20110110",20110110,"Auburn","Oregon",22,19,34.25,-55.25,-112.125,-9.5,-33.125
"5386","NCAAF_Louisville_MurrayState_20110901",20110901,"Louisville","MurrayState",21,9,-14.0555555555556,-108.571428571429,-111.428571428571,NA,NA
"5387","NCAAF_Temple_Villanova_20110901",20110901,"Temple","Villanova",42,7,23.5,-111.333333333333,-85.4444444444444,-330,273.333333333333
"5388","NCAAF_FloridaInternational_NorthTexas_20110901",20110901,"FloridaInternational","NorthTexas",41,16,-5.05555555555556,-108.555555555556,-109.222222222222,-498.571428571429,408.285714285714
"5389","NCAAF_CentralMichigan_SCState_20110901",20110901,"CentralMichigan","SCState",21,6,-5.16666666666667,-109.444444444444,NA,-1011.66666666667,NA
"5390","NCAAF_Toledo_NewHampshire_20110901",20110901,"Toledo","NewHampshire",58,22,-4.94444444444444,-110.555555555556,-86.1111111111111,-373.333333333333,308.333333333333
"5391","NCAAF_GeorgiaTech_WesternCarolina_20110901",20110901,"GeorgiaTech","WesternCarolina",63,21,0,-109.375,-109.444444444444,-20000,6000
"5392","NCAAF_Memphis_MississippiState_20110901",20110901,"Memphis","MississippiState",14,59,62.7777777777778,-109.888888888889,-107.888888888889,3237.5,-6000
"5393","NCAAF_Syracuse_WakeForest_20110901",20110901,"Syracuse","WakeForest",36,29,22.9444444444444,-109.111111111111,-86.4444444444444,-230.555555555556,196.888888888889
"5394","NCAAF_Utah_MontanaState_20110901",20110901,"Utah","MontanaState",27,10,-4.33333333333333,-109.444444444444,-109.444444444444,-11000,3750
"5395","NCAAF_Wisconsin_UNLV_20110901",20110901,"Wisconsin","UNLV",51,17,-3.77777777777778,-110.222222222222,-85.4444444444444,-15000,7800
"5396","NCAAF_Idaho_BowlingGreen_20110901",20110901,"Idaho","BowlingGreen",15,32,23.0555555555556,-109.333333333333,-108.444444444444,-228.222222222222,192.222222222222
"5397","NCAAF_WesternKentucky_Kentucky_20110901",20110901,"WesternKentucky","Kentucky",3,14,46.6666666666667,-85.6666666666667,-110,538.142857142857,-697.857142857143
"5398","NCAAF_ArizonaState_UCDavis_20110901",20110901,"ArizonaState","UCDavis",48,14,-4.5,-86.2222222222222,-110.555555555556,-30500,9500
"5410","NCAAF_MichiganState_YoungstownState_20110902",20110902,"MichiganState","YoungstownState",28,6,-3.66666666666667,-109.444444444444,-109.444444444444,-20000,7500
"5411","NCAAF_Baylor_TCU_20110902",20110902,"Baylor","TCU",50,48,45.8888888888889,-109.333333333333,-87.3333333333333,165.333333333333,-178.888888888889
"5421","NCAAF_Auburn_UtahState_20110903",20110903,"Auburn","UtahState",42,38,-2,-108.875,-108.428571428571,-1600.14285714286,1035.71428571429
"5422","NCAAF_BostonCollege_Northwestern_20110903",20110903,"BostonCollege","Northwestern",17,24,22.7777777777778,-109.777777777778,-108,-194.444444444444,168.888888888889
"5423","NCAAF_Missouri_MiamiOH_20110903",20110903,"Missouri","MiamiOH",17,6,-0.714285714285714,-107.857142857143,-109.444444444444,-935.714285714286,683.428571428571
"5424","NCAAF_PennState_IndianaState_20110903",20110903,"PennState","IndianaState",41,7,-4.22222222222222,-110.333333333333,-86.4444444444444,-33500,10500
"5425","NCAAF_Purdue_MiddleTennessee_20110903",20110903,"Purdue","MiddleTennessee",27,24,-4.88888888888889,-109.666666666667,-108.111111111111,-584.285714285714,465
