"","game_id","date","home_team","away_team","home_score","away_score","avg_spread_home","avg_spread_money_home","avg_spread_money_away","avg_money_home","avg_money_away"
"43","NFL_NewOrleans_TampaBay_20110102",20110102,"NewOrleans","TampaBay",13,23,23.0555555555556,12.2222222222222,-118.777777777778,-292.222222222222,247.25
"44","NFL_Atlanta_Carolina_20110102",20110102,"Atlanta","Carolina",31,10,-5.05555555555556,-85,-110.111111111111,-988,726
"45","NFL_Cleveland_Pittsburgh_20110102",20110102,"Cleveland","Pittsburgh",9,41,49.6666666666667,-86,-109.111111111111,229,-268.125
"46","NFL_Detroit_Minnesota_20110102",20110102,"Detroit","Minnesota",20,13,15.6875,-111.125,-106.125,-197.777777777778,170.111111111111
"47","NFL_KansasCity_Oakland_20110102",20110102,"KansasCity","Oakland",10,31,21.7222222222222,-112.111111111111,-83,-218.888888888889,184.111111111111
"48","NFL_NYJets_Buffalo_20110102",20110102,"NYJets","Buffalo",38,7,0.428571428571429,-78.1428571428571,-81.4285714285714,-119.375,26.625
"49","NFL_GreenBay_Chicago_20110102",20110102,"GreenBay","Chicago",10,3,-5.05555555555556,-109.777777777778,-85.3333333333333,-647.111111111111,475.444444444444
"50","NFL_Indianapolis_Tennessee_20110102",20110102,"Indianapolis","Tennessee",0,0,23.1666666666667,-82.4444444444444,-112.777777777778,-468.285714285714,373
"51","NFL_Washington_NYGiants_20110102",20110102,"Washington","NYGiants",14,17,47.1666666666667,-109.111111111111,-108.222222222222,185.333333333333,-219.777777777778
"52","NFL_Denver_SanDiego_20110102",20110102,"Denver","SanDiego",28,33,48.2222222222222,-85.6666666666667,-109.444444444444,197.777777777778,-233.666666666667
"53","NFL_SanFrancisco_Arizona_20110102",20110102,"SanFrancisco","Arizona",38,7,23.1666666666667,-84.7777777777778,-110.333333333333,-243.428571428571,208.571428571429
"54","NFL_Philadelphia_Dallas_20110102",20110102,"Philadelphia","Dallas",13,14,36.7777777777778,-63.1111111111111,-110.111111111111,115.25,-133
"55","NFL_Seattle_LosAngeles_20110102",20110102,"Seattle","LosAngeles",16,6,48.625,-27.5,-114.555555555556,145.333333333333,-163.666666666667
"267","NFL_Seattle_NewOrleans_20110108",20110108,"Seattle","NewOrleans",41,36,47.375,-113.125,-54.125,416.857142857143,-515
