"","game_id","date","home_team","away_team","home_score","away_score","avg_spread_home","avg_spread_money_home","avg_spread_money_away","avg_money_home","avg_money_away"
"39","NHL_Buffalo_Boston_20110101",20110101,"Buffalo","Boston",7,6,21.9375,121.875,-175.625,-15.3333333333333,-114.333333333333
"40","NHL_Carolina_NewJersey_20110101",20110101,"Carolina","NewJersey",6,3,1.08333333333333,164.5,-183.166666666667,-185.111111111111,163.444444444444
"41","NHL_TampaBay_NYRangers_20110101",20110101,"TampaBay","NYRangers",3,1,0.4375,217.625,-255.25,-131.333333333333,112.333333333333
"42","NHL_Edmonton_Calgary_20110101",20110101,"Edmonton","Calgary",1,2,35.4375,-271.5,232.5,108.333333333333,-126.111111111111
"84","NHL_Montreal_Winnipeg_20110102",20110102,"Montreal","Winnipeg",3,5,0.4375,222.875,-258.625,-128.444444444444,110.555555555556
"85","NHL_Minnesota_Arizona_20110102",20110102,"Minnesota","Arizona",5,5,0.4375,251.5,-298.75,-110.888888888889,-84.2222222222222
"86","NHL_Anaheim_Chicago_20110102",20110102,"Anaheim","Chicago",2,1,35.4375,-263.375,227.625,110.555555555556,-128.333333333333
"113","NHL_Toronto_Boston_20110103",20110103,"Toronto","Boston",1,2,35.4375,-250.5,215.25,111.888888888889,-130.375
"114","NHL_Carolina_Florida_20110103",20110103,"Carolina","Florida",3,4,0.4375,177.625,-207.25,-162.333333333333,144.333333333333
"115","NHL_Calgary_NYIslanders_20110103",20110103,"Calgary","NYIslanders",2,5,0.4375,143.5,-161.25,-209.444444444444,178.666666666667
"116","NHL_LosAngeles_Chicago_20110103",20110103,"LosAngeles","Chicago",3,4,0.4375,202.375,-237.375,-143.888888888889,126.222222222222
"117","NHL_SanJose_Vancouver_20110103",20110103,"SanJose","Vancouver",3,4,0.4375,205.625,-240.625,-139.444444444444,121.777777777778
"138","NHL_Washington_TampaBay_20110104",20110104,"Washington","TampaBay",0,2,0.285714285714286,184.833333333333,-216.375,-156.5,138.75
"139","NHL_Colorado_Buffalo_20110104",20110104,"Colorado","Buffalo",4,3,0.4375,203.625,-238.625,-137.777777777778,120
"140","NHL_Edmonton_Detroit_20110104",20110104,"Edmonton","Detroit",0,0,24.0625,-201.428571428571,173.714285714286,139,-157.666666666667
"141","NHL_Arizona_Columbus_20110104",20110104,"Arizona","Columbus",4,2,0.4375,202.5,-236.666666666667,-140.714285714286,124
"188","NHL_NYRangers_Carolina_20110105",20110105,"NYRangers","Carolina",2,1,0.4375,188.375,-221.625,-147.222222222222,129.444444444444
"189","NHL_Pittsburgh_TampaBay_20110105",20110105,"Pittsburgh","TampaBay",0,0,0.714285714285714,146.857142857143,-164.571428571429,-197.444444444444,170
"190","NHL_Florida_Winnipeg_20110105",20110105,"Florida","Winnipeg",2,3,0.4375,237,-278.75,-117.333333333333,33
"191","NHL_Chicago_Dallas_20110105",20110105,"Chicago","Dallas",0,0,0.4375,170.75,-197.75,-165.111111111111,147.111111111111
"192","NHL_Vancouver_Calgary_20110105",20110105,"Vancouver","Calgary",3,1,0.4375,144,-161.75,-209.333333333333,178.555555555556
"193","NHL_Anaheim_Nashville_20110105",20110105,"Anaheim","Nashville",1,4,0.4375,234.625,-275,-117.888888888889,78.3333333333333
"230","NHL_Boston_Minnesota_20110106",20110106,"Boston","Minnesota",1,3,0.714285714285714,154.428571428571,-172.857142857143,-200.444444444444,172.875
"231","NHL_Toronto_StLouis_20110106",20110106,"Toronto","StLouis",6,5,24.0625,-295,249.428571428571,24.25,-116.666666666667
"232","NHL_NewJersey_Philadelphia_20110106",20110106,"NewJersey","Philadelphia",0,0,35.4375,-227.5,193.142857142857,145.444444444444,-163.333333333333
"233","NHL_Montreal_Pittsburgh_20110106",20110106,"Montreal","Pittsburgh",2,1,0.4375,236.125,-276.5,-94.6666666666667,77
"234","NHL_Edmonton_NYIslanders_20110106",20110106,"Edmonton","NYIslanders",2,1,0.4375,195.125,-229.75,-149.125,131.666666666667
"235","NHL_LosAngeles_Nashville_20110106",20110106,"LosAngeles","Nashville",2,5,0.714285714285714,161.714285714286,-182.25,-188.888888888889,166.111111111111
"236","NHL_SanJose_Buffalo_20110106",20110106,"SanJose","Buffalo",0,3,1,171.75,-200.625,-166.666666666667,148.555555555556
"261","NHL_Winnipeg_Toronto_20110107",20110107,"Winnipeg","Toronto",3,9,0.4375,167,-191.375,-174,155.888888888889
"262","NHL_Florida_Carolina_20110107",20110107,"Florida","Carolina",3,5,0.4375,207.625,-242.75,-140.25,121.888888888889
"263","NHL_Chicago_Ottawa_20110107",20110107,"Chicago","Ottawa",3,2,0.4375,145.25,-163,-203.222222222222,174.888888888889
"264","NHL_Dallas_NYRangers_20110107",20110107,"Dallas","NYRangers",2,3,0.4375,225.875,-264.75,-127.555555555556,109.666666666667
"265","NHL_Vancouver_Edmonton_20110107",20110107,"Vancouver","Edmonton",6,1,0.4375,-80,-112,-302.888888888889,254.111111111111
"266","NHL_Anaheim_Columbus_20110107",20110107,"Anaheim","Columbus",6,0,0.4375,235.75,-276.5,-119.333333333333,101.666666666667
"365","NHL_Colorado_NYIslanders_20110108",20110108,"Colorado","NYIslanders",3,5,0.4375,118.375,-135.75,-239.111111111111,203.555555555556
"366","NHL_Montreal_Boston_20110108",20110108,"Montreal","Boston",2,2,0.4375,254.375,-301.75,-116.222222222222,10
"367","NHL_Ottawa_TampaBay_20110108",20110108,"Ottawa","TampaBay",1,2,35.4375,-259,221.25,107,-126
"368","NHL_Pittsburgh_Minnesota_20110108",20110108,"Pittsburgh","Minnesota",0,4,0.4375,150.625,-168.5,-195.555555555556,168.777777777778
"369","NHL_Washington_Florida_20110108",20110108,"Washington","Florida",3,2,0.4375,121.75,-139.25,-240.111111111111,204.555555555556
"370","NHL_StLouis_NYRangers_20110108",20110108,"StLouis","NYRangers",1,2,0.4375,192.375,-225.875,-155.777777777778,136.875
"371","NHL_Arizona_Buffalo_20110108",20110108,"Arizona","Buffalo",1,3,0.4375,218.125,-253.625,-131.111111111111,113.222222222222
"372","NHL_SanJose_Nashville_20110108",20110108,"SanJose","Nashville",1,2,0.4375,177.625,-206.5,-167,148.25
"373","NHL_LosAngeles_Columbus_20110108",20110108,"LosAngeles","Columbus",6,4,0.4375,150.25,-168.125,-192.333333333333,168
"411","NHL_Minnesota_Dallas_20110109",20110109,"Minnesota","Dallas",0,4,26.5714285714286,-126.142857142857,101.625,102.666666666667,-120.444444444444
"412","NHL_Chicago_NYIslanders_20110109",20110109,"Chicago","NYIslanders",5,0,0.714285714285714,-76.5714285714286,-113.25,-294.875,247.333333333333
"420","NHL_Pittsburgh_Boston_20110110",20110110,"Pittsburgh","Boston",2,4,0.4375,217.625,-253.125,-123.888888888889,106.111111111111
"421","NHL_StLouis_Arizona_20110110",20110110,"StLouis","Arizona",3,4,0.4375,203.75,-238.625,-139.75,121.666666666667
"422","NHL_Colorado_Detroit_20110110",20110110,"Colorado","Detroit",5,4,11.0625,165.714285714286,-221.625,-112.111111111111,-60.7777777777778
"423","NHL_LosAngeles_Toronto_20110110",20110110,"LosAngeles","Toronto",2,3,0.4375,150.75,-168.625,-200.625,171.857142857143
"442","NHL_Boston_Ottawa_20110111",20110111,"Boston","Ottawa",6,0,0.4375,175.375,-204.125,-173.333333333333,155.111111111111
"443","NHL_NYIslanders_Vancouver_20110111",20110111,"NYIslanders","Vancouver",3,4,35.4375,-143.25,125.75,192.333333333333,-227.777777777778
"444","NHL_Carolina_Calgary_20110111",20110111,"Carolina","Calgary",6,5,0.4375,210.25,-245.5,-136.555555555556,118.777777777778
"445","NHL_Columbus_Arizona_20110111",20110111,"Columbus","Arizona",3,4,0.4375,218.75,-254.5,-131.111111111111,113.333333333333
"446","NHL_Florida_Washington_20110111",20110111,"Florida","Washington",5,3,35.4375,-265.5,228.875,106.777777777778,-124.444444444444
"447","NHL_Nashville_Minnesota_20110111",20110111,"Nashville","Minnesota",5,1,0.4375,209.75,-244.625,-139,121.222222222222
"448","NHL_Dallas_Edmonton_20110111",20110111,"Dallas","Edmonton",3,2,0.4375,125.875,-142.75,-222.111111111111,187.777777777778
"449","NHL_SanJose_Toronto_20110111",20110111,"SanJose","Toronto",2,4,0.4375,131.5,-149.25,-215.555555555556,183
"508","NHL_Montreal_Pittsburgh_20110112",20110112,"Montreal","Pittsburgh",2,5,0.4375,251.5,-298.125,-110.777777777778,-106.555555555556
"509","NHL_TampaBay_Washington_20110112",20110112,"TampaBay","Washington",0,0,0.4375,232.375,-269.5,-113.888888888889,-36.7777777777778
"510","NHL_Chicago_Colorado_20110112",20110112,"Chicago","Colorado",4,0,0.4375,158,-176,-180.777777777778,160.333333333333
"511","NHL_Anaheim_StLouis_20110112",20110112,"Anaheim","StLouis",0,0,0.4375,228.25,-267.125,-130,112.111111111111
"556","NHL_Boston_Philadelphia_20110113",20110113,"Boston","Philadelphia",7,5,0.4375,230.875,-268.5,-121.777777777778,104.111111111111
"557","NHL_Buffalo_Carolina_20110113",20110113,"Buffalo","Carolina",3,2,0.4375,204,-238.875,-140.222222222222,122.555555555556
"558","NHL_NYIslanders_Ottawa_20110113",20110113,"NYIslanders","Ottawa",4,6,0.4375,241,-283,-115.777777777778,9.55555555555556
"559","NHL_NYRangers_Vancouver_20110113",20110113,"NYRangers","Vancouver",1,0,35.4375,-274.625,235.5,101.125,-118.666666666667
"560","NHL_Florida_Nashville_20110113",20110113,"Florida","Nashville",3,2,0.4375,246.5,-290.375,-115.444444444444,9.22222222222222
"561","NHL_Arizona_Toronto_20110113",20110113,"Arizona","Toronto",5,1,0.4375,186.375,-218.5,-152.5,134.222222222222
"562","NHL_LosAngeles_StLouis_20110113",20110113,"LosAngeles","StLouis",1,3,0.4375,172.25,-199.125,-173.555555555556,155.333333333333
"563","NHL_SanJose_Edmonton_20110113",20110113,"SanJose","Edmonton",2,5,0.4375,120.625,-138,-226.222222222222,190.625
"578","NHL_Washington_Vancouver_20110114",20110114,"Washington","Vancouver",2,4,0.4375,230.75,-267.125,-116.75,77.5555555555556
"579","NHL_Columbus_Detroit_20110114",20110114,"Columbus","Detroit",3,2,35.4375,-244.75,207.25,121.625,-141.428571428571
"580","NHL_Ottawa_Calgary_20110114",20110114,"Ottawa","Calgary",2,3,0.4375,254.75,-302.625,-109.666666666667,-107.857142857143
"581","NHL_Winnipeg_Philadelphia_20110114",20110114,"Winnipeg","Philadelphia",0,0,0.4375,241.375,-286,-112.555555555556,-106.285714285714
"582","NHL_TampaBay_NewJersey_20110114",20110114,"TampaBay","NewJersey",2,5,0.4375,139.5,-157.25,-203.888888888889,175
"583","NHL_Minnesota_Colorado_20110114",20110114,"Minnesota","Colorado",1,4,33.5625,47.125,-98.375,-60.2222222222222,-112.5
"689","NHL_Toronto_Calgary_20110115",20110115,"Toronto","Calgary",1,2,0.4375,214.25,-249.625,-133.888888888889,116.111111111111
"690","NHL_Montreal_NYRangers_20110115",20110115,"Montreal","NYRangers",3,2,0.4375,236.375,-279.625,-124.555555555556,105.666666666667
"691","NHL_NYIslanders_Buffalo_20110115",20110115,"NYIslanders","Buffalo",5,3,35.4375,-240.625,205.75,116.333333333333,-134.111111111111
"692","NHL_Florida_NewJersey_20110115",20110115,"Florida","NewJersey",4,2,0.4375,169.875,-197,-167,149
"693","NHL_Detroit_Columbus_20110115",20110115,"Detroit","Columbus",0,0,0.4375,163.375,-185.25,-186,163.111111111111
"694","NHL_Nashville_Chicago_20110115",20110115,"Nashville","Chicago",3,2,35.4375,-272.25,233.125,110.333333333333,-128.111111111111
"695","NHL_Dallas_Winnipeg_20110115",20110115,"Dallas","Winnipeg",6,1,0.4375,183.75,-215.875,-160,142
"696","NHL_Arizona_Anaheim_20110115",20110115,"Arizona","Anaheim",6,2,0.4375,206.25,-241.25,-138.222222222222,120.555555555556
"697","NHL_LosAngeles_Edmonton_20110115",20110115,"LosAngeles","Edmonton",5,2,0.4375,146,-163.75,-209.888888888889,179
"720","NHL_Washington_Ottawa_20110116",20110116,"Washington","Ottawa",0,0,0.4375,145.625,-163.375,-203.222222222222,174.333333333333
"721","NHL_Minnesota_Vancouver_20110116",20110116,"Minnesota","Vancouver",4,0,35.4375,-209,178.875,150.111111111111,-168.222222222222
"722","NHL_NYRangers_Philadelphia_20110116",20110116,"NYRangers","Philadelphia",2,3,35.4375,-272.75,233.125,59.6666666666667,-121.888888888889
"723","NHL_Chicago_Nashville_20110116",20110116,"Chicago","Nashville",6,3,0.4375,167.5,-192.75,-179.222222222222,158.555555555556
"753","NHL_Boston_Carolina_20110117",20110117,"Boston","Carolina",7,0,0.4375,170.375,-196.25,-169.333333333333,151.333333333333
"754","NHL_NYIslanders_NewJersey_20110117",20110117,"NYIslanders","NewJersey",2,5,35.0625,-226.25,179.625,-12.8888888888889,-115.666666666667
"755","NHL_Arizona_SanJose_20110117",20110117,"Arizona","SanJose",2,4,0.4375,245.5,-290,-111.25,-61.2222222222222
"756","NHL_Montreal_Calgary_20110117",20110117,"Montreal","Calgary",6,4,0.4375,212.875,-248,-144.333333333333,126.555555555556
"757","NHL_Florida_Winnipeg_20110117",20110117,"Florida","Winnipeg",2,3,0.4375,241.25,-282.375,-115.666666666667,9.44444444444444
"758","NHL_Dallas_LosAngeles_20110117",20110117,"Dallas","LosAngeles",2,1,0.4375,246.5,-290.25,-112.333333333333,-82.7777777777778
"773","NHL_Philadelphia_Washington_20110118",20110118,"Philadelphia","Washington",4,2,0.1875,200.285714285714,-233.571428571429,-148.625,130.375
"774","NHL_Pittsburgh_Detroit_20110118",20110118,"Pittsburgh","Detroit",4,1,0.4375,199.5,-234.375,-144.875,126.75
"775","NHL_Carolina_Boston_20110118",20110118,"Carolina","Boston",2,3,0.1875,252.142857142857,-296.333333333333,-109.5,-83.75
"776","NHL_Ottawa_Anaheim_20110118",20110118,"Ottawa","Anaheim",1,2,0.4375,243.75,-288,-114.666666666667,-36.1111111111111
"777","NHL_TampaBay_Columbus_20110118",20110118,"TampaBay","Columbus",3,2,0.4375,172.75,-201,-166.125,148.25
"778","NHL_Buffalo_Montreal_20110118",20110118,"Buffalo","Montreal",3,1,0.4375,203.25,-232.8,-140.25,122.444444444444
"779","NHL_StLouis_LosAngeles_20110118",20110118,"StLouis","LosAngeles",2,1,0.4375,225.25,-262,-124.555555555556,106.888888888889
"780","NHL_Colorado_Vancouver_20110118",20110118,"Colorado","Vancouver",5,3,35.4375,-271.75,233.375,100.444444444444,-118.875
"781","NHL_Arizona_Nashville_20110118",20110118,"Arizona","Nashville",2,5,0.75,220,-256.625,-135.428571428571,118.5
"782","NHL_Edmonton_Minnesota_20110118",20110118,"Edmonton","Minnesota",1,4,35.4375,-262.875,226.625,109.444444444444,-127.333333333333
"839","NHL_NYRangers_Toronto_20110119",20110119,"NYRangers","Toronto",7,0,0.4375,179.5,-210.5,-160.111111111111,142.222222222222
"840","NHL_Florida_Columbus_20110119",20110119,"Florida","Columbus",2,3,0.4375,203.625,-238.5,-148.111111111111,130.25
"841","NHL_Calgary_Minnesota_20110119",20110119,"Calgary","Minnesota",0,6,0.4375,188.75,-222.375,-159.222222222222,141.222222222222
"887","NHL_Boston_Buffalo_20110120",20110120,"Boston","Buffalo",2,4,0.4375,179.5,-211,-164.333333333333,146.222222222222
"888","NHL_Toronto_Anaheim_20110120",20110120,"Toronto","Anaheim",5,2,0.4375,242.25,-284,-115.333333333333,-13.3333333333333
"889","NHL_NewJersey_Pittsburgh_20110120",20110120,"NewJersey","Pittsburgh",2,0,35.4375,-278,236.25,75.625,-118.222222222222
"890","NHL_NYIslanders_Washington_20110120",20110120,"NYIslanders","Washington",1,2,35.4375,-211.125,180.125,137.666666666667,-155.666666666667
"891","NHL_Philadelphia_Ottawa_20110120",20110120,"Philadelphia","Ottawa",6,2,0.714285714285714,124.714285714286,-141.857142857143,-236.222222222222,200.666666666667
"892","NHL_Carolina_NYRangers_20110120",20110120,"Carolina","NYRangers",4,1,0.1875,199.285714285714,-233.625,-147.555555555556,129.777777777778
"893","NHL_Winnipeg_TampaBay_20110120",20110120,"Winnipeg","TampaBay",2,3,0.4375,234.5,-275.25,-117.444444444444,77.6666666666667
"894","NHL_StLouis_Detroit_20110120",20110120,"StLouis","Detroit",3,5,0.714285714285714,246.857142857143,-292.75,-114.111111111111,-36.5555555555556
"895","NHL_Colorado_Nashville_20110120",20110120,"Colorado","Nashville",1,5,0.4375,214.375,-249.625,-133.888888888889,116.111111111111
"896","NHL_Edmonton_Dallas_20110120",20110120,"Edmonton","Dallas",2,4,35.4375,-212.25,180.875,145.111111111111,-163.222222222222
"897","NHL_Vancouver_SanJose_20110120",20110120,"Vancouver","SanJose",0,0,0.4375,184,-216.625,-153.444444444444,136
"898","NHL_LosAngeles_Arizona_20110120",20110120,"LosAngeles","Arizona",0,2,0.4375,193.75,-227.125,-148.888888888889,131
"916","NHL_Buffalo_NYIslanders_20110121",20110121,"Buffalo","NYIslanders",2,5,0.4375,144.625,-162.375,-209.222222222222,179.444444444444
"917","NHL_Ottawa_Montreal_20110121",20110121,"Ottawa","Montreal",1,7,35.4375,-276.625,236.125,105,-122.666666666667
"918","NHL_Florida_TampaBay_20110121",20110121,"Florida","TampaBay",1,2,0.4375,222.75,-258.625,-122.888888888889,105.111111111111
"919","NHL_Calgary_Dallas_20110121",20110121,"Calgary","Dallas",7,4,0.4375,221.375,-257.75,-127.444444444444,109.555555555556
"1037","NHL_Detroit_Chicago_20110122",20110122,"Detroit","Chicago",1,4,0.714285714285714,239.857142857143,-281.428571428571,-117,77.4444444444444
"1038","NHL_Colorado_Boston_20110122",20110122,"Colorado","Boston",2,6,22.8125,93.7142857142857,-159.875,-108.111111111111,-109.222222222222
"1039","NHL_Montreal_Anaheim_20110122",20110122,"Montreal","Anaheim",3,4,0.4375,237.625,-278.375,-125.75,107.111111111111
"1040","NHL_Pittsburgh_Carolina_20110122",20110122,"Pittsburgh","Carolina",3,2,0.714285714285714,197.285714285714,-230.75,-135.888888888889,118.5
"1041","NHL_Winnipeg_NYRangers_20110122",20110122,"Winnipeg","NYRangers",2,3,0.4375,241.75,-284.25,-113.222222222222,-59.7777777777778
"1042","NHL_Arizona_LosAngeles_20110122",20110122,"Arizona","LosAngeles",3,4,0.4375,247.25,-293.125,-88.625,-3.66666666666667
