,Stance,Name,FighterID,Country,WT Class,Team,DOB,Nickname,ReachInches,WeightPounds,HeightInches
0,Orthodox,Niina Aaltonen,3043549/niina-aaltonen,,,,,,80.0,,
1,,Soufyan Aarab,4898183/soufyan-aarab,Netherlands,Heavyweight,,,,,141.0,71.0
2,,Tom Aaron,2504991/tom-aaron,USA,Lightweight,Elite Training Centre,,,,,
3,,Tommy Aaron,4239497/tommy-aaron,USA,Lightweight,Triton Fight Center,1994-09-20,The Spaniard,,155.0,71.0
4,,Joshua Aarons,3088828/joshua-aarons,,,,,,,,
5,,Mike Aarts,3089919/mike-aarts,,Lightweight,,,,,,
6,None,Zyad Abada,2511451/zyad-abada,,,,,,,,
7,,Kadzhik Abadzhyan,2966179/kadzhik-abadzhyan,,,,,,,,
8,,Imran Abaev,4401351/imran-abaev,Russia,Welterweight,,,,,,
9,,Randen Abafo,4683514/randen-abafo,,,,,,,,
10,,Jason Abajian,2501542/jason-abajian,,Lightweight,,,,,,
11,,Soslan Abanokov,3128222/soslan-abanokov,Russia,,K Dojo,1989-03-17,,,135.0,67.0
12,,Ariel Abargel,3149709/ariel-abargel,,Featherweight,,,,,,
13,,Marcus Abarquez,3960654/marcus-abarquez,,,,,,,,
14,,Eddie Abasolo,4891258/eddie-abasolo,,,,1986-10-25,,,,
15,,Bagautdin Abasov,2999935/bagautdin-abasov,Russia,,,,,,,
16,,Emil Abasov,3961806/emil-abasov,Russia,,,1989-07-15,,,,
17,,Islam Abasov,4769637/islam-abasov,Russia,Heavyweight,,,,,,
18,,Shamil Abasov,4859535/shamil-abasov,Russia,,,,,,205.0,72.0
19,Orthodox,Danny Abbadi,2556806/danny-abbadi,,Lightweight,Chute Boxe,,,,,
20,,Adil Abbas,2580270/adil-abbas,,Welterweight,,,,,,
21,,Bakhtiyar Abbasov,3098605/bakhtiyar-abbasov,Azerbaijan,,,1985-11-30,,,,
22,,Elvin Abbasov,4292685/elvin-abbasov,,,,,,,,
23,,Kiamrian Abbasov,4275038/kiamrian-abbasov,Kyrgyzstan,Welterweight,,1993-07-08,,,170.0,73.0
24,,Nariman Abbasov,4294871/nariman-abbasov,,,,,,,,
25,,Nerman Abbasov,4032844/nerman-abbasov,Azerbaijan,,,1994-02-01,,,,
26,,Darion Abbey,4413642/darion-abbey,USA,Heavyweight,,1993-02-25,,,260.0,78.0
27,,Ben Abbott,3100919/ben-abbott,,,,,,,,
28,Switch,David Abbott,2354050/david-abbott,USA,Heavyweight,,1965-07-16,Tank,,,
29,,Raleigh Abbott,4701289/raleigh-abbott,USA,Heavyweight,,1988-10-13,Rabid Rabbitt,,,
30,,Jamie Abdallah,4252425/jamie-abdallah,Australia,Light Heavyweight,,,,,205.0,72.0
31,,Mohammed Abdallah,4011880/mohammed-abdallah,,,,,,,,
32,,Hichame Abdallaoui,3127955/hichame-abdallaoui,,,,,,,,
33,,Mohamed Abdel Azim,4249248/mohamed-abdel-azim,,,,,,,,
34,,Atef Abdel Kawy,4249246/atef-abdel-kawy,,,,,,,,
35,,Anis Abdelli,2502709/anis-abdelli,,Middleweight,,,,,,
36,,Bouaziz Abderhaman,4868698/bouaziz-abderhaman,Belgium,,,,,,,
37,,Soli Abdeselam Mohamed,4239924/soli-abdeselam-mohamed,Spain,,,,,,,
38,,Imran Abdiev,4727571/imran-abdiev,Russia,,,,,,,
39,,Yusef Abdollah,3960393/yusef-abdollah,,,,,,,,
40,,Mostafa Abdollahi,4294257/mostafa-abdollahi,Iran,,,,,,,
41,,Akram Abdolmaleki,4289247/akram-abdolmaleki,,,,,,,,
42,,Carol Abdon,4233550/carol-abdon,,,,,,,,
43,,Jordano Abdon,4411891/jordano-abdon,,Bantamweight,,,,,,
44,,Abdoul Abdouraguimov,4245706/abdoul-abdouraguimov,France,Welterweight,Bulgarian Top Team,1995-08-01,The Conqueror,,170.0,70.0
45,,Melisbek Abdrakhmanov,4422104/melisbek-abdrakhmanov,Kyrgyzstan,,,,,,,
46,,Jabari Abduhl-Shakur,3571351/jabari-abduhl-shakur,,,,,,,,
47,,Eslam Abdul Baset,4905067/eslam-abdul-baset,Egypt,Middleweight,,1993-10-27,,,185.0,72.0
48,,Tajuddin Abdul Hakim,4238098/tajuddin-abdul-hakim,,Welterweight,,,,,,
49,,Muhammad Abdula,2516651/muhammad-abdula,,Lightweight,,,,,,
50,,Khasanbek Abdulaev,4348607/khasanbek-abdulaev,Russia,,,1991-11-28,,,,
51,,Khirzri Abdulaev,4820976/khirzri-abdulaev,Russia,,,1997-07-17,,,,
52,,Magomed Abdulaev,3960396/magomed-abdulaev,,,,,,,,
53,,Murad Abdulaev,3089019/murad-abdulaev,Russia,Welterweight,,,,,170.0,69.0
54,,Rasul Abdulaev,3156120/rasul-abdulaev,Russia,Welterweight,,,,,,
55,,Gasan Abdulakhmetov,4399096/gasan-abdulakhmetov,,,,,,,,
56,,Akim Abdulgalimov,4238116/akim-abdulgalimov,Ukraine,,,,,,,
57,,Ahmed Abdulkadirov,4693786/ahmed-abdulkadirov,Austria,Featherweight,,1994-11-25,,,,
58,,Arsen Abdulkerimov,4245464/arsen-abdulkerimov,,,,,,,,
59,,Shamil Abdulkerimov,2966186/shamil-abdulkerimov,,,,,,,,
60,,Zirodin Abdulkerimov,4237412/zirodin-abdulkerimov,Russia,,,,,,,
61,,Ali Abdulkhalikov,4413558/ali-abdulkhalikov,Russia,Lightweight,,,,,155.0,68.0
62,,Shamil Abdulkhalikov,3173100/shamil-abdulkhalikov,Russia,,,1989-01-10,,,,
63,,Amir Abdullaev,4422077/amir-abdullaev,Russia,,,,,,,
64,,Gadzhimurad Abdullaev,4712498/gadzhimurad-abdullaev,Russia,Welterweight,,,,,170.0,73.0
65,,Ilyas Abdullaev,4415077/ilyas-abdullaev,Kyrgyzstan,,,,,,,
