Stance,Name,FighterID,Country,WT Class,Team,DOB,Nickname,ReachInches,WeightPounds,HeightInches
Orthodox,Niina Aaltonen,3043549/niina-aaltonen,,,,,,80.0,,
,Soufyan Aarab,4898183/soufyan-aarab,Netherlands,Heavyweight,,,,,141.0,71.0
,Tom Aaron,2504991/tom-aaron,USA,Lightweight,Elite Training Centre,,,,,
,Tommy Aaron,4239497/tommy-aaron,USA,Lightweight,Triton Fight Center,1994-09-20,The Spaniard,,155.0,71.0
,Joshua Aarons,3088828/joshua-aarons,,,,,,,,
,Mike Aarts,3089919/mike-aarts,,Lightweight,,,,,,
None,Zyad Abada,2511451/zyad-abada,,,,,,,,
,Kadzhik Abadzhyan,2966179/kadzhik-abadzhyan,,,,,,,,
,Imran Abaev,4401351/imran-abaev,Russia,Welterweight,,,,,,
,Randen Abafo,4683514/randen-abafo,,,,,,,,
,Jason Abajian,2501542/jason-abajian,,Lightweight,,,,,,
,Soslan Abanokov,3128222/soslan-abanokov,Russia,,K Dojo,1989-03-17,,,135.0,67.0
,Ariel Abargel,3149709/ariel-abargel,,Featherweight,,,,,,
,Marcus Abarquez,3960654/marcus-abarquez,,,,,,,,
,Eddie Abasolo,4891258/eddie-abasolo,,,,1986-10-25,,,,
,Bagautdin Abasov,2999935/bagautdin-abasov,Russia,,,,,,,
,Emil Abasov,3961806/emil-abasov,Russia,,,1989-07-15,,,,
,Islam Abasov,4769637/islam-abasov,Russia,Heavyweight,,,,,,
,Shamil Abasov,4859535/shamil-abasov,Russia,,,,,,205.0,72.0
Orthodox,Danny Abbadi,2556806/danny-abbadi,,Lightweight,Chute Boxe,,,,,
,Adil Abbas,2580270/adil-abbas,,Welterweight,,,,,,
,Bakhtiyar Abbasov,3098605/bakhtiyar-abbasov,Azerbaijan,,,1985-11-30,,,,
,Elvin Abbasov,4292685/elvin-abbasov,,,,,,,,
,Kiamrian Abbasov,4275038/kiamrian-abbasov,Kyrgyzstan,Welterweight,,1993-07-08,,,170.0,73.0
,Nariman Abbasov,4294871/nariman-abbasov,,,,,,,,
,Nerman Abbasov,4032844/nerman-abbasov,Azerbaijan,,,1994-02-01,,,,
,Darion Abbey,4413642/darion-abbey,USA,Heavyweight,,1993-02-25,,,260.0,78.0
,Ben Abbott,3100919/ben-abbott,,,,,,,,
