Date,Opponent,Event,FighterResult,TSL,TSA,SSL,SSA,TSL-TSA,KD,%BODY,%HEAD,%LEG,OpponentID,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC,SGBL,SGBA,SGHL,SGHA,SGLL,SGLA,AD,ADTB,ADHG,ADTM,ADTS,SM,FighterID,SDBL,SDBA,SDHL,SDHA,SDLL,SDLA,Name,Time,Decision,Rnd,stats_missing,FighterName,OpponentName,fighter_is_A,FighterNameClean,OpponentNameClean,FighterOpen,OpponentOpen,FighterCloseLeft,FighterCloseRight,OpponentCloseLeft,OpponentCloseRight
2007-06-23,Jens Pulver,The Ultimate Fighter 5 Finale,W,60.0,70.0,23.0,31.0,0.8571,0.0,1.0,0.72,0.0,2335885/jens-pulver,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.667,3.0,3.0,2.0,1.0,0.0,0.0,13.0,15.0,0.0,0.0,7.0,2.0,3.0,2.0,0.0,3.0,2335629/bj-penn,0.0,0.0,8.0,14.0,0.0,0.0,bj penn,3:12,Submission,2,False,bj penn,jens pulver,False,bj penn,jens pulver,-490.0,340.0,-357.0,-330.0,225.0,280.0
2007-07-07,Antonio Rodrigo Nogueira,UFC 73,L,47.0,144.0,31.0,127.0,0.3264,1.0,0.38,0.17,0.9,2335521/antonio-rodrigo-nogueira,1.0,2.0,4.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335302/heath-herring,2.0,6.0,10.0,84.0,9.0,10.0,heath herring,5:00,Decision - Unanimous,3,False,heath herring,antonio rodrigo nogueira,False,heath herring,antonio rodrigo nogueira,470.0,-810.0,500.0,500.0,-700.0,-700.0
2007-07-07,Nate Marquardt,UFC 73,W,30.0,35.0,10.0,15.0,0.8571,1.0,1.0,0.64,0.0,2335475/nate-marquardt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335447/anderson-silva,0.0,0.0,4.0,5.0,0.0,0.0,anderson silva,4:50,KO/TKO,1,False,anderson silva,nate marquardt,False,anderson silva,nate marquardt,-170.0,150.0,-145.0,-145.0,125.0,125.0
2007-07-07,Mike Nickels,UFC 73,W,2.0,5.0,2.0,5.0,0.4,0.0,0.0,0.25,1.0,2354080/mike-nickels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2335525/stephan-bonnar,0.0,0.0,1.0,4.0,1.0,1.0,stephan bonnar,2:14,Submission,1,False,stephan bonnar,mike nickels,False,stephan bonnar,mike nickels,-420.0,300.0,-440.0,-440.0,350.0,350.0
2007-07-07,Jason Gilliam,UFC 73,W,39.0,45.0,5.0,8.0,0.8667,0.0,1.0,0.4,1.0,2499034/jason-gilliam,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,5.0,2335670/chris-lytle,1.0,1.0,1.0,2.0,1.0,1.0,chris lytle,2:15,Submission,1,False,chris lytle,jason gilliam,False,chris lytle,jason gilliam,-475.0,325.0,-420.0,-420.0,335.0,335.0
2007-07-07,Alvin Robinson,UFC 73,W,51.0,67.0,20.0,32.0,0.7612000000000001,0.0,1.0,0.57,1.0,2354124/alvin-robinson,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.6,0.0,0.0,16.0,24.0,1.0,1.0,6.0,0.0,1.0,2.0,3.0,0.0,2335675/kenny-florian,0.0,0.0,0.0,4.0,1.0,1.0,kenny florian,4:30,KO/TKO,1,False,kenny florian,alvin robinson,False,kenny florian,alvin robinson,-350.0,250.0,-220.0,-220.0,180.0,180.0
2007-07-07,Hermes Franca,UFC 73,W,215.0,249.0,35.0,55.0,0.8634999999999999,0.0,1.0,0.55,1.0,2335708/hermes-franca,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.158,16.0,19.0,3.0,0.84,9.0,9.0,23.0,32.0,0.0,0.0,20.0,0.0,8.0,3.0,9.0,2.0,2335678/sean-sherk,0.0,0.0,1.0,12.0,1.0,1.0,sean sherk,5:00,Decision - Unanimous,5,False,sean sherk,hermes franca,False,sean sherk,hermes franca,-205.0,165.0,-303.0,-240.0,185.0,225.0
2007-07-07,Mark Bocek,UFC 73,W,53.0,76.0,31.0,54.0,0.6973999999999999,0.0,0.67,0.56,1.0,2335717/mark-bocek,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,12.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2335694/frankie-edgar,0.0,1.0,14.0,31.0,0.0,0.0,frankie edgar,4:55,KO/TKO,1,False,frankie edgar,mark bocek,False,frankie edgar,mark bocek,-260.0,180.0,-230.0,-230.0,190.0,190.0
2007-07-07,Diego Saraiva,UFC 73,W,120.0,301.0,67.0,230.0,0.3987,0.0,0.57,0.27,0.67,2354337/diego-saraiva,1.0,2.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2410613/jorge-gurgel,2.0,4.0,32.0,158.0,6.0,9.0,jorge gurgel,5:00,Decision - Unanimous,3,False,jorge gurgel,diego saraiva,True,jorge gurgel,diego saraiva,-320.0,240.0,-235.0,-235.0,195.0,195.0
2007-08-25,Gabriel Gonzaga,UFC 74,W,82.0,106.0,63.0,87.0,0.7736,0.0,0.67,0.68,1.0,2354239/gabriel-gonzaga,2.0,3.0,30.0,39.0,11.0,11.0,0.0,0.1,3.0,10.0,1.0,0.3,0.0,0.0,15.0,20.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2335338/randy-couture,0.0,0.0,5.0,14.0,0.0,0.0,randy couture,1:37,KO/TKO,3,False,randy couture,gabriel gonzaga,False,randy couture,gabriel gonzaga,-105.0,-125.0,135.0,135.0,-145.0,-145.0
