FighterID,gender
4898183/soufyan-aarab,M
2504991/tom-aaron,M
4239497/tommy-aaron,M
3089919/mike-aarts,M
4401351/imran-abaev,M
2501542/jason-abajian,M
3149709/ariel-abargel,M
4769637/islam-abasov,M
2556806/danny-abbadi,M
2580270/adil-abbas,M
4275038/kiamrian-abbasov,M
4413642/darion-abbey,M
2354050/david-abbott,M
4701289/raleigh-abbott,M
4252425/jamie-abdallah,M
2502709/anis-abdelli,M
4411891/jordano-abdon,M
4245706/abdoul-abdouraguimov,M
4905067/eslam-abdul-baset,M
4238098/tajuddin-abdul-hakim,M
2516651/muhammad-abdula,M
3089019/murad-abdulaev,M
3156120/rasul-abdulaev,M
4693786/ahmed-abdulkadirov,M
4413558/ali-abdulkhalikov,M
4712498/gadzhimurad-abdullaev,M
3896614/mohammed-abdullah,M
3115941/muhammad-abdullah,M
4289499/abdul-aziz-abdulvakhabov,M
4415088/salamu-abdurahmanov,M
2558062/shamil-abdurakhimov,M
4046608/daichi-abe,M
2499298/hiroyuki-abe,M
2951001/masatoshi-abe,M
3892477/mark-abelardo,M
2559790/joseph-abercrombie,M
2970372/alexandre-abin,M
2977005/neal-abrams,M
4909334/carlos-abreu,M
4347303/klidson-abreu,M
3108778/ricardo-abreu,M
2501245/adriano-abu,M
4083014/aaron-aby,M
4876397/maui-acantilado,M
2560744/chris-acevedo,M
2501379/austin-achorn,M
2613458/matt-acorn,M
3089421/james-acosta,M
2514198/ralph-acosta,M
3027346/fabian-acuna,M
4359111/anthony-adams,M
2570366/brandon-adams,M
4878803/devin-adams,M
4891027/jon-adams,M
4292650/juan-adams,M
3087865/kevin-adams,M
3088202/mark-adams,M
3022153/mike-adams,M
3106281/randall-adams,M
2558110/scott-adams,M
2515788/steve-adams,M
2506561/travis-adams,M
4275054/arda-adas,M
4683807/zarrukh-adashev,M
4878435/james-adcock,M
4285679/israel-adesanya,M
4896572/alpamys-adiatov,M
3893071/lito-adiwang,M
4894845/asael-adjoudj,M
4077476/derrick-adkins,M
2499292/george-adkins,M
2504612/sam-adkins,M
4289252/rebecca-adney,M
2555308/jeremiah-adriano,M
2555670/jose-adriano,M
2557998/mike-adsit,M
3172618/marcel-adur,M
3087848/alan-aeschlimann,M
2967031/baga-agaev,M
4686722/selim-agaev,M
2502592/nick-agallar,M
4411087/aj-agazarm,M
4683652/derrick-ageday,M
4285669/yvon-agenord,M
4237916/batraz-agnaev,M
4687611/arthur-agranat,M
4294505/jose-aguayo,M
2559806/lucio-aguiar,M
2488869/marcelo-aguiar,M
4080405/ulyses-aguila,M
2431303/edwin-aguilar,M
2555540/kevin-aguilar,M
4687599/mario-aguilar,M
2557514/rudy-aguilar,M
4697571/aidan-aguilera,M
3953379/christian-aguilera,M
2975299/daniel-aguirre,M
2555200/david-aguirre,M
3060892/arbi-agujev,M
3083868/kyle-aguon,M
4895357/milan-ahady,M
2969988/martin-ahlberg,M
2500858/joe-ahlert,M
2555154/tom-ahrens,M
4320928/steve-aimable,M
2431338/mike-aina,M
2975555/kenny-aires,M
2555664/marcus-ajian,M
2950986/yasuhiro-akagi,M
2976923/katsuhisa-akasaki,M
2502480/dustin-akbari,M
2590015/timur-akbulut,M
4900710/anwar-akchich,M
4603219/braydon-akeo,M
3070416/omari-akhmedov,M
4903369/sirazhutdin-akhmedrabadanov,M
3952409/kairat-akhmetov,M
2971117/maskhat-akhmetov,M
3026169/daniel-akinyemi,M
3728409/david-akopiyan,M
4696858/aren-akopyan,M
4895358/manny-akpan,M
4688591/mohd-al-hafiz,M
2488873/brett-al-azzawi,M
3029191/nadeem-al-hassan,M
2335528/razak-al-hassan,M
4695485/abdul-kareem-al-selwady,M
4295923/jarrah-al-silawi,M
4889617/jarrah-al-silawi,M
2335657/mostapha-al-turk,M
4379326/herdem-alacabek,M
4884872/agustin-alamillo,M
2951127/javi-alanis,M
2502448/maicon-alarcao,M
4031261/richard-alarcon,M
4686715/rasul-alautdinov,M
2554591/chris-albandia,M
4281855/rasul-albaskhanov,M
4684848/amir-albazi,M
2557280/brett-albee,M
2554708/aleena-albertson,M
4001827/junior-albini,M
4078664/karl-albrektsson,M
2488532/wes-albritton,M
2479911/israel-albuquerque,M
2558370/paulo-albuquerque,M
2951128/juan-alcain,M
4899325/jorge-alcala,M
4292602/roman-alcantar,M
4710388/caio-alcantara,M
2557025/ildemar-alcantara,M
2532872/iuri-alcantara,M
2500448/alfonso-alcarez,M
2501544/doug-alcorn,M
2335877/gilbert-aldana,M
4336315/hector-aldana,M
2501948/gary-aldar,M
3962309/jose-alday,M
2447641/jose-aldo,M
4709165/sameer-alekozai,M
3156611/nikolai-aleksakhin,M
4062096/caio-alencar,M
3028070/jim-alers,M
2354054/john-alessio,M
2500179/danny-alexander,M
2504824/jay-alexander,M
2501591/john-alexander,M
2558465/jon-alexander,M
2486966/kenneth-alexander,M
2354340/norm-alexander,M
3026140/steve-alexander,M
3895521/cosmo-alexandre,M
3092532/jose-alexandre,M
3108776/marcio-alexandre-jr,M
4871195/lucas-alfalfa,M
2500626/marcelo-alfaya,M
2553292/olaf-alfonso,M
2517124/pablo-alfonso,M
4076472/bill-algeo,M
2558117/royce-alger,M
4696874/adeq-ali,M
3153132/mohamed-ali,M
3153370/noah-ali,M
4294870/magomedsaygid-alibekov,M
4359697/artur-alibulatov,M
3943688/adi-alic,M
4405601/abdulla-aliev,M
4247604/akhmed-aliev,M
4296565/gadzhimurad-aliev,M
3021961/sultan-aliev,M
3173099/abdulsupyan-alikhanov,M
4684776/ikram-aliskerov,M
4372193/john-allan,M
2558020/jason-allar,M
2618007/todd-allee,M
4379259/roberto-allegretti,M
3902098/arnold-allen,M
4025699/brendan-allen,M
4903319/ryan-allen,M
3166120/rodney-allison,M
3009715/ben-alloway,M
2502032/edwin-allseitz,M
4913036/jared-almazan,M
3163431/alexandre-almeida,M
3093508/carlos-sousa-almeida,M
3003514/daniel-almeida,M
2528581/igor-almeida,M
4873640/jailton-almeida,M
4863328/lucas-almeida,M
2560055/magno-almeida,M
4711604/marcus-almeida,M
4896498/paulo-almeida,M
2335488/ricardo-almeida,M
3046793/saul-almeida,M
3071362/thomas-almeida,M
4782650/weber-almeida,M
4290961/terrence-almond,M
3083567/miguel-alo,M
4687002/ali-alqaisi,M
4030351/adel-altamimi,M
2951130/rico-altamirano,M
4713584/victor-altamirano,M
2558190/rich-alten,M
2447640/mike-altman,M
3123777/jesus-alvarado,M
2556821/ralph-alvarado,M
2501396/luiz-augusto-alvareda,M
2558225/alejandro-alvarez,M
2431333/eddie-alvarez,M
