missing,Date,FighterName,OpponentName,wager_A,wager_B,opener_A,opener_B,bet365_A,bet365_B,888sport_A,888sport_B,unibet_A,unibet_B,betway_A,betway_B,FighterOpener,Opponent,FighterResult,Decision,Rnd,Time,Event,OpponentID,FighterID,SDBL/A_Fighter,SDHL/A_Fighter,SDLL/A_Fighter,TSL_Fighter,TSA_Fighter,SSL_Fighter,SSA_Fighter,TSL-TSA_Fighter,KD_Fighter,%BODY_Fighter,%HEAD_Fighter,%LEG_Fighter,SCBL_Fighter,SCBA_Fighter,SCHL_Fighter,SCHA_Fighter,SCLL_Fighter,SCLA_Fighter,RV_Fighter,SR_Fighter,TDL_Fighter,TDA_Fighter,TDS_Fighter,TK ACC_Fighter,SGBL_Fighter,SGBA_Fighter,SGHL_Fighter,SGHA_Fighter,SGLL_Fighter,SGLA_Fighter,AD_Fighter,ADTB_Fighter,ADHG_Fighter,ADTM_Fighter,ADTS_Fighter,SM_Fighter,SDBL_Fighter,SDBA_Fighter,SDHL_Fighter,SDHA_Fighter,SDLL_Fighter,SDLA_Fighter,SDBL/A_Opponent,SDHL/A_Opponent,SDLL/A_Opponent,TSL_Opponent,TSA_Opponent,SSL_Opponent,SSA_Opponent,TSL-TSA_Opponent,KD_Opponent,%BODY_Opponent,%HEAD_Opponent,%LEG_Opponent,SCBL_Opponent,SCBA_Opponent,SCHL_Opponent,SCHA_Opponent,SCLL_Opponent,SCLA_Opponent,RV_Opponent,SR_Opponent,TDL_Opponent,TDA_Opponent,TDS_Opponent,TK ACC_Opponent,SGBL_Opponent,SGBA_Opponent,SGHL_Opponent,SGHA_Opponent,SGLL_Opponent,SGLA_Opponent,AD_Opponent,ADTB_Opponent,ADHG_Opponent,ADTM_Opponent,ADTS_Opponent,SM_Opponent,SDBL_Opponent,SDBA_Opponent,SDHL_Opponent,SDHA_Opponent,SDLL_Opponent,SDLA_Opponent
False,2017-04-08,magomed bibulatov,jenel lausa,48%,52%,-145,+125,-500,+375,-,-,-,-,-,-,0.5711159737417943,Jenel Lausa,W,Decision - Unanimous,3,5:00,UFC 210: Cormier vs. Johnson 2,4058117/jenel-lausa,3151939/magomed-bibulatov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/4,4/23,1/1,31.0,56.0,10.0,31.0,0.5536,0.0,0.5,0.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,23.0,1.0,1.0
False,2017-04-08,irene aldana,katlyn chookagian,55%,45%,+145,-170,+130,-160,-,-,-,-,-,-,0.39329934450109244,Katlyn Chookagian,L,Decision - Split,3,5:00,UFC 210: Cormier vs. Johnson 2,4026490/katlyn-chookagian,3136286/irene-aldana,6/10,45/162,27/39,85.0,224.0,84.0,223.0,0.3795,0.0,0.64,0.28,0.7,3.0,4.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,45.0,162.0,27.0,39.0,24/47,45/179,31/37,106.0,274.0,105.0,273.0,0.38689999999999997,0.0,0.53,0.25,0.84,3.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,47.0,45.0,179.0,31.0,37.0
False,2017-04-08,desmond green,josh emmett,58%,42%,+190,-225,+180,-220,-,-,-,-,-,-,0.33248081841432225,Josh Emmett,W,Decision - Split,3,5:00,UFC 210: Cormier vs. Johnson 2,4011299/josh-emmett,3039667/desmond-green,2/5,48/110,4/6,66.0,135.0,57.0,124.0,0.4889,0.0,0.4,0.45,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.5,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,48.0,110.0,4.0,6.0,10/20,13/99,18/23,43.0,144.0,41.0,142.0,0.2986,0.0,0.5,0.13,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,13.0,99.0,18.0,23.0
False,2017-04-08,andrew holbrook,gregor gillespie,50%,50%,+185,-220,+200,-250,-,-,-,-,-,-,0.337909186906019,Gregor Gillespie,L,KO/TKO,1,0:21,UFC 210: Cormier vs. Johnson 2,4021934/gregor-gillespie,3904497/andrew-holbrook,1/1,3/8,0/0,4.0,9.0,4.0,9.0,0.44439999999999996,0.0,1.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,8.0,0.0,0.0,0/0,3/6,1/1,9.0,13.0,8.0,12.0,0.6923,1.0,0.0,0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,1.0,1.0
False,2017-04-08,jan blachowicz,patrick cummins,45%,55%,-125,+105,-125,+100,-,-,-,-,-,-,0.5324675324675325,Patrick Cummins,L,Decision - Unanimous,3,5:00,UFC 210: Cormier vs. Johnson 2,2536068/patrick-cummins,2506250/jan-blachowicz,5/6,31/70,1/1,68.0,115.0,53.0,99.0,0.5913,1.0,0.9,0.49,1.0,4.0,4.0,7.0,11.0,0.0,0.0,0.0,0.5,1.0,2.0,1.0,0.5,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,31.0,70.0,1.0,1.0,2/3,21/56,0/0,109.0,162.0,73.0,121.0,0.6728000000000001,0.0,0.91,0.57,1.0,2.0,2.0,14.0,18.0,1.0,1.0,0.0,0.0,3.0,10.0,0.0,0.3,6.0,6.0,27.0,35.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,21.0,56.0,0.0,0.0
False,2017-04-08,charles rosa,shane burgos,47%,53%,+170,-200,+188,-225,-,-,-,-,-,-,0.35714285714285715,Shane Burgos,L,KO/TKO,3,1:59,UFC 210: Cormier vs. Johnson 2,4076470/shane-burgos,3153125/charles-rosa,6/22,45/185,34/49,86.0,261.0,86.0,261.0,0.3295,0.0,0.27,0.24,0.69,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,45.0,185.0,34.0,49.0,12/20,45/122,9/11,98.0,190.0,77.0,167.0,0.5158,1.0,0.56,0.41,0.82,1.0,3.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,45.0,122.0,9.0,11.0
False,2017-04-08,sean strickland,kamaru usman,55%,45%,+260,-310,+250,-333,-,-,-,-,-,-,0.26867627785058973,Kamaru Usman,L,Decision - Unanimous,3,5:00,UFC 210: Cormier vs. Johnson 2,3088812/kamaru-usman,3093653/sean-strickland,1/1,24/99,1/1,30.0,108.0,27.0,103.0,0.2778,0.0,1.0,0.25,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,99.0,1.0,1.0,12/19,24/78,9/10,117.0,200.0,90.0,171.0,0.585,1.0,0.74,0.41,0.9,0.0,1.0,3.0,5.0,3.0,4.0,0.0,0.0,2.0,8.0,0.0,0.25,11.0,11.0,22.0,37.0,6.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,12.0,19.0,24.0,78.0,9.0,10.0
False,2017-04-08,mike de la torre,myles jury,54%,46%,+335,-405,+300,-400,-,-,-,-,-,-,0.2227859269879784,Myles Jury,L,KO/TKO,1,3:30,UFC 210: Cormier vs. Johnson 2,2960676/myles-jury,3099050/mike-de-la-torre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,2017-04-08,charles oliveira,will brooks,61%,39%,+270,-330,+175,-210,-,-,-,-,-,-,0.26044821320411876,Will Brooks,W,Submission,1,2:30,UFC 210: Cormier vs. Johnson 2,3017946/will-brooks,2504169/charles-oliveira,0/1,0/2,2/3,3.0,7.0,3.0,7.0,0.4286,0.0,0.5,0.0,0.67,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,2017-04-08,patrick cote,thiago alves,69%,31%,-172,+147,-138,+110,-,-,-,-,-,-,0.6096664944607083,Thiago Alves,L,Decision - Unanimous,3,5:00,UFC 210: Cormier vs. Johnson 2,2335660/thiago-alves,2335448/patrick-cote,8/12,22/94,8/15,51.0,140.0,44.0,131.0,0.3643,0.0,0.69,0.26,0.53,1.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,22.0,94.0,8.0,15.0,5/7,24/85,25/28,103.0,182.0,79.0,157.0,0.5659000000000001,2.0,0.73,0.38,0.87,3.0,3.0,4.0,9.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,16.0,21.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,5.0,7.0,24.0,85.0,25.0,28.0
False,2017-04-08,pearl gonzalez,cynthia calvillo,47%,53%,+220,-260,+200,-250,-,-,-,-,-,-,0.3020134228187919,Cynthia Calvillo,L,Submission,3,3:45,UFC 210: Cormier vs. Johnson 2,4085155/cynthia-calvillo,3028440/pearl-gonzalez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/20,25/139,8/8,65.0,188.0,50.0,169.0,0.3457,0.0,0.76,0.19,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,3.0,15.0,20.0,25.0,139.0,8.0,8.0
False,2017-04-08,gegard mousasi,chris weidman,44%,56%,-116,-104,-125,+100,-,-,-,-,-,-,0.5130072840790842,Chris Weidman,W,KO/TKO,2,3:13,UFC 210: Cormier vs. Johnson 2,2553993/chris-weidman,2431313/gegard-mousasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/3,9/24,1/1,18.0,34.0,13.0,29.0,0.5294,0.0,1.0,0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.67,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,9.0,24.0,1.0,1.0
False,2017-04-08,anthony johnson,daniel cormier,46%,54%,-110,-110,-150,+125,-,-,-,-,-,-,0.5,Daniel Cormier,L,Submission,2,3:37,UFC 210: Cormier vs. Johnson 2,2509290/daniel-cormier,2335663/anthony-johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/4,1/1,85.0,97.0,36.0,41.0,0.8763,0.0,1.0,0.85,1.0,4.0,4.0,15.0,16.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.5,0.0,0.0,14.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0
False,2017-04-15,ketlen vieira,ashlee evans-smith,47%,53%,+155,-180,+138,-163,-,-,-,-,-,-,0.37889039242219213,Ashlee Evans-Smith,W,Decision - Unanimous,3,5:00,UFC Fight Night: Johnson vs. Reis,3046022/ashlee-evans-smith,4039865/ketlen-vieira,8/9,49/208,0/0,89.0,256.0,71.0,235.0,0.3477,0.0,0.85,0.26,1.0,3.0,4.0,6.0,9.0,4.0,4.0,0.0,0.0,1.0,5.0,0.0,0.2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,49.0,208.0,0.0,0.0,6/8,17/127,29/33,100.0,228.0,68.0,189.0,0.4386,0.0,0.77,0.15,0.89,11.0,14.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,17.0,127.0,29.0,33.0
False,2017-04-15,nathan coy,zak cummings,49%,51%,+385,-500,+400,-550,-,-,-,-,-,-,0.1983471074380165,Zak Cummings,L,Submission,1,4:21,UFC Fight Night: Johnson vs. Reis,2512055/zak-cummings,2501989/nathan-coy,7/8,12/28,3/4,23.0,41.0,23.0,41.0,0.561,0.0,0.88,0.45,0.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,12.0,28.0,3.0,4.0,2/3,16/62,3/3,25.0,72.0,25.0,72.0,0.3472,0.0,0.67,0.3,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,16.0,62.0,3.0,3.0
False,2017-04-15,augusto mendes,aljamain sterling,62%,38%,+205,-240,+300,-400,-,-,-,-,-,-,0.3171641791044776,Aljamain Sterling,L,Decision - Unanimous,3,5:00,UFC Fight Night: Johnson vs. Reis,3031559/aljamain-sterling,3892370/augusto-mendes,3/7,14/70,7/7,76.0,145.0,30.0,91.0,0.5241,1.0,0.64,0.22,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,14.0,70.0,7.0,7.0,24/31,23/77,6/9,162.0,246.0,83.0,161.0,0.6585,0.0,0.84,0.31,0.56,9.0,10.0,1.0,2.0,0.0,0.0,0.0,0.167,2.0,6.0,1.0,0.33,13.0,14.0,4.0,11.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,31.0,23.0,77.0,6.0,9.0
False,2017-04-15,andrew sanchez,anthony smith,44%,56%,-320,+270,-350,+275,-,-,-,-,-,-,0.7381546134663343,Anthony Smith,L,KO/TKO,3,3:52,UFC Fight Night: Johnson vs. Reis,2512976/anthony-smith,3104854/andrew-sanchez,3/8,25/59,8/8,104.0,151.0,63.0,104.0,0.6887000000000001,0.0,0.58,0.57,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.4,4.0,4.0,20.0,20.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,8.0,25.0,59.0,8.0,8.0,7/7,24/74,4/4,58.0,111.0,49.0,100.0,0.5225,1.0,1.0,0.39,1.0,5.0,5.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,24.0,74.0,4.0,4.0
False,2017-04-15,jake collier,devin clark,45%,55%,+120,-140,+120,-143,-,-,-,-,-,-,0.43795620437956206,Devin Clark,L,Decision - Unanimous,3,5:00,UFC Fight Night: Johnson vs. Reis,3971496/devin-clark,2988175/jake-collier,3/3,11/39,1/1,52.0,91.0,36.0,72.0,0.5714,0.0,0.73,0.35,0.89,8.0,12.0,5.0,8.0,7.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,11.0,39.0,1.0,1.0,4/6,12/39,4/5,159.0,207.0,68.0,105.0,0.7681,0.0,0.9,0.55,0.9,2.0,2.0,4.0,8.0,5.0,5.0,0.0,0.0,4.0,7.0,0.0,0.57,11.0,11.0,26.0,29.0,0.0,0.0,6.0,1.0,3.0,1.0,1.0,0.0,4.0,6.0,12.0,39.0,4.0,5.0
False,2017-04-15,louis smolka,tim elliott,63%,37%,+230,-270,+150,-175,-,-,-,-,-,-,0.2934179222839017,Tim Elliott,L,Decision - Unanimous,3,5:00,UFC Fight Night: Johnson vs. Reis,2614020/tim-elliott,3087023/louis-smolka,4/6,21/66,2/2,47.0,105.0,41.0,97.0,0.4476,0.0,0.67,0.39,1.0,0.0,0.0,3.0,7.0,0.0,0.0,4.0,0.25,1.0,4.0,1.0,0.25,0.0,0.0,11.0,16.0,0.0,0.0,5.0,1.0,2.0,0.0,2.0,2.0,4.0,6.0,21.0,66.0,2.0,2.0,7/10,17/38,6/7,98.0,136.0,57.0,91.0,0.7206,0.0,0.83,0.53,0.89,1.0,1.0,9.0,15.0,2.0,2.0,3.0,0.071,12.0,14.0,1.0,0.86,7.0,7.0,8.0,11.0,0.0,0.0,14.0,1.0,4.0,2.0,7.0,1.0,7.0,10.0,17.0,38.0,6.0,7.0
False,2017-04-15,rashid magomedov,bobby green,46%,54%,-350,+285,-350,+275,-,-,-,-,-,-,0.7496522948539639,Bobby Green,W,Decision - Split,3,5:00,UFC Fight Night: Johnson vs. Reis,2502364/bobby-green,2557936/rashid-magomedov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/23,13/66,30/35,104.0,176.0,75.0,143.0,0.5909,0.0,0.82,0.2,0.87,10.0,10.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,13.0,66.0,30.0,35.0
False,2017-04-15,tom duquesnoy,patrick williams,36%,64%,-425,+355,-1400,+800,-,-,-,-,-,-,0.7864768683274023,Patrick Williams,W,KO/TKO,2,0:28,UFC Fight Night: Johnson vs. Reis,3074969/patrick-williams,3164050/tom-duquesnoy,8/9,5/12,5/5,36.0,49.0,36.0,49.0,0.7347,2.0,0.93,0.57,1.0,6.0,6.0,10.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,5.0,12.0,5.0,5.0,5/6,10/36,6/6,42.0,80.0,37.0,73.0,0.525,0.0,0.79,0.38,1.0,6.0,8.0,9.0,16.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,10.0,36.0,6.0,6.0
