missing,Date,FighterName,OpponentName,wager_A,wager_B,opener_A,opener_B,bet365_A,bet365_B,888sport_A,888sport_B,unibet_A,unibet_B,betway_A,betway_B,FighterOpener,Opponent,Res.,Decision,Rnd,Time,Event,OpponentID,FighterID
False,2017-04-08,magomed bibulatov,jenel lausa,48%,52%,-145,+125,-500,+375,-,-,-,-,-,-,0.5711159737417943,,,,,,,,
False,2017-04-08,irene aldana,katlyn chookagian,55%,45%,+145,-170,+130,-160,-,-,-,-,-,-,0.39329934450109244,,,,,,,,
False,2017-04-08,desmond green,josh emmett,58%,42%,+190,-225,+180,-220,-,-,-,-,-,-,0.33248081841432225,,,,,,,,
False,2017-04-08,andrew holbrook,gregor gillespie,50%,50%,+185,-220,+200,-250,-,-,-,-,-,-,0.337909186906019,,,,,,,,
False,2017-04-08,jan blachowicz,patrick cummins,45%,55%,-125,+105,-125,+100,-,-,-,-,-,-,0.5324675324675325,,,,,,,,
False,2017-04-08,charles rosa,shane burgos,47%,53%,+170,-200,+188,-225,-,-,-,-,-,-,0.35714285714285715,,,,,,,,
False,2017-04-08,sean strickland,kamaru usman,55%,45%,+260,-310,+250,-333,-,-,-,-,-,-,0.26867627785058973,,,,,,,,
False,2017-04-08,mike de la torre,myles jury,54%,46%,+335,-405,+300,-400,-,-,-,-,-,-,0.2227859269879784,,,,,,,,
False,2017-04-08,charles oliveira,will brooks,61%,39%,+270,-330,+175,-210,-,-,-,-,-,-,0.26044821320411876,,,,,,,,
False,2017-04-08,patrick cote,thiago alves,69%,31%,-172,+147,-138,+110,-,-,-,-,-,-,0.6096664944607083,,,,,,,,
False,2017-04-08,pearl gonzalez,cynthia calvillo,47%,53%,+220,-260,+200,-250,-,-,-,-,-,-,0.3020134228187919,,,,,,,,
False,2017-04-08,gegard mousasi,chris weidman,44%,56%,-116,-104,-125,+100,-,-,-,-,-,-,0.5130072840790842,,,,,,,,
False,2017-04-08,anthony johnson,daniel cormier,46%,54%,-110,-110,-150,+125,-,-,-,-,-,-,0.5,,,,,,,,
False,2017-04-15,ketlen vieira,ashlee evans-smith,47%,53%,+155,-180,+138,-163,-,-,-,-,-,-,0.37889039242219213,,,,,,,,
False,2017-04-15,nathan coy,zak cummings,49%,51%,+385,-500,+400,-550,-,-,-,-,-,-,0.1983471074380165,,,,,,,,
False,2017-04-15,augusto mendes,aljamain sterling,62%,38%,+205,-240,+300,-400,-,-,-,-,-,-,0.3171641791044776,,,,,,,,
False,2017-04-15,andrew sanchez,anthony smith,44%,56%,-320,+270,-350,+275,-,-,-,-,-,-,0.7381546134663343,,,,,,,,
False,2017-04-15,jake collier,devin clark,45%,55%,+120,-140,+120,-143,-,-,-,-,-,-,0.43795620437956206,,,,,,,,
False,2017-04-15,louis smolka,tim elliott,63%,37%,+230,-270,+150,-175,-,-,-,-,-,-,0.2934179222839017,,,,,,,,
False,2017-04-15,rashid magomedov,bobby green,46%,54%,-350,+285,-350,+275,-,-,-,-,-,-,0.7496522948539639,,,,,,,,
False,2017-04-15,tom duquesnoy,patrick williams,36%,64%,-425,+355,-1400,+800,-,-,-,-,-,-,0.7864768683274023,,,,,,,,
False,2017-04-15,roy nelson,alexander volkov,56%,44%,+119,-139,+140,-170,-,-,-,-,-,-,0.4398152407942437,,,,,,,,
False,2017-04-15,renato moicano,jeremy stephens,57%,43%,+165,-190,+150,-175,-,-,-,-,-,-,0.36546943919344677,,,,,,,,
False,2017-04-15,robert whittaker,jacare souza,57%,43%,+195,-230,+200,-250,-,-,-,-,-,-,0.32721864154685176,,,,,,,,
False,2017-04-15,michelle waterson,rose namajunas,60%,40%,+115,-135,-110,-110,-,-,-,-,-,-,0.447405997144217,,,,,,,,
